170:distance error all: 0.00997300000000223;distance error:0.007978999999998848
175:distance error all: 0.008977999999999042;distance error:0.0009999999999976694
180:distance error all: 0.003985999999997603;distance error:0.0
185:distance error all: 0.01595700000000022;distance error:0.0019959999999983324
188:distance error all: 0.003984000000002652;distance error:0.001995000000000857
193:distance error all: 0.017949999999999022;distance error:0.0009990000000001942
198:distance error all: 0.0029899999999969396;distance error:0.0009969999999981383
202:distance error all: 0.0019959999999983324;distance error:0.0
207:distance error all: 0.014958999999997502;distance error:0.0009969999999981383
210:distance error all: 0.0029929999999964707;distance error:0.0009969999999981383
215:distance error all: 0.009973999999999705;distance error:0.0009979999999956135
220:distance error all: 0.0029970000000005825;distance error:0.0009979999999956135
225:distance error all: 0.013961999999999364;distance error:0.000996000000000663
230:distance error all: 0.0019939999999962765;distance error:0.0009969999999981383
233:distance error all: 0.002004999999996926;distance error:0.0010070000000013124
238:distance error all: 0.011968000000003087;distance error:0.0009969999999981383
243:distance error all: 0.014964000000006195;distance error:0.009979000000001292
248:distance error all: 0.012971000000000288;distance error:0.010979000000006067
253:distance error all: 0.009971000000000174;distance error:0.0
256:distance error all: 0.0109729999999999;distance error:0.0009990000000001942
261:distance error all: 0.01695399999999836;distance error:0.006974999999997067
266:distance error all: 0.010969999999993263;distance error:0.007974999999994736
271:distance error all: 0.002993000000003576;distance error:0.000998000000002719
276:distance error all: 0.010967000000000837;distance error:0.000996000000000663
279:distance error all: 0.00997199999999765;distance error:0.006978999999994073
284:distance error all: 0.00997300000000223;distance error:0.006979000000001179
289:distance error all: 0.008974999999999511;distance error:0.0009969999999981383
294:distance error all: 0.011962999999994395;distance error:0.008974999999999511
299:distance error all: 0.008974000000002036;distance error:0.000996000000000663
302:distance error all: 0.001994000000003382;distance error:0.0009990000000001942
307:distance error all: 0.008977000000001567;distance error:0.005983999999997991
312:distance error all: 0.006977999999996598;distance error:0.000996000000000663
317:distance error all: 0.0019949999999937518;distance error:0.0009959999999935576
322:distance error all: 0.0019939999999962765;distance error:0.000942999999999472
325:distance error all: 0.002993000000003576;distance error:0.0009969999999981383
330:distance error all: 0.003989000000004239;distance error:0.000996000000000663
335:distance error all: 0.012968000000000757;distance error:0.00100100000000225
340:distance error all: 0.0029940000000010514;distance error:0.000998000000002719
