3451:jump=0all: 0.013964999999999783;jump=0:0.00.011969999999999814
3452:jump=0all: 0.0029959999999995546;jump=0:0.00099699999999991460.0019929999999996895
3453:jump=0all: 0.01296499999999945;jump=0:0.00099800000000005440.0019969999999993604
3453:jump=0all: 0.0069790000000002905;jump=0:0.00.0069790000000002905
3454:jump=0all: 0.00897199999999998;jump=0:0.0069780000000001510.007975000000000065
3455:jump=0all: 0.011968999999999674;jump=0:0.00199399999999982920.009971000000000174
3456:jump=0all: 0.0009969999999999146;jump=0:0.00099699999999991460.0019939999999998292
3457:jump=0all: 0.00897400000000026;jump=0:0.00697900000000029050.007977000000000345
3457:jump=0all: 0.0029930000000000234;jump=0:0.00099900000000019420.0009990000000001942
3458:jump=0all: 0.001994999999999969;jump=0:0.00099999999999944580.0009999999999994458
3459:jump=0all: 0.003993999999999609;jump=0:0.00100099999999958560.0019979999999995
3460:jump=0all: 0.0029930000000000234;jump=0:0.0019960000000001090.0029930000000000234
3461:jump=0all: 0.01097400000000004;jump=0:0.00199399999999982920.009974999999999845
3461:jump=0all: 0.0009990000000001942;jump=0:0.00.0
3462:jump=0all: 0.0029930000000000234;jump=0:0.00099699999999991460.0019929999999996895
3463:jump=0all: 0.009980999999999796;jump=0:0.0079869999999999660.008982999999999741
3464:jump=0all: 0.001994999999999969;jump=0:0.00099800000000005440.001994999999999969
3465:jump=0all: 0.002989999999999604;jump=0:0.00099699999999991460.0019929999999996895
3465:jump=0all: 0.0009970000000008028;jump=0:0.00.0
3466:jump=0all: 0.0029930000000000234;jump=0:0.00099800000000005440.0019939999999998292
3467:jump=0all: 0.002991000000000632;jump=0:0.0009960000000006630.000996000000000663
3468:jump=0all: 0.001994999999999969;jump=0:0.00.0009980000000000544
3468:jump=0all: 0.001996000000000109;jump=0:0.00.0
3469:jump=0all: 0.0029930000000000234;jump=0:0.00099800000000005440.001994999999999969
3470:jump=0all: 0.016961000000000226;jump=0:0.0079820000000001560.009980000000000544
3471:jump=0all: 0.01096899999999934;jump=0:0.0099709999999992860.01096899999999934
3472:jump=0all: 0.0019939999999998292;jump=0:0.00099800000000005440.0009980000000000544
3472:jump=0all: 0.0019939999999998292;jump=0:0.00.0009950000000005232
3473:jump=0all: 0.002991000000000632;jump=0:0.00099500000000052320.001996000000000109
3474:jump=0all: 0.01096599999999981;jump=0:0.00099800000000005440.01096599999999981
3475:jump=0all: 0.008975999999999651;jump=0:0.0059810000000002360.006979999999999542
3476:jump=0all: 0.009968999999999895;jump=0:0.00099599999999977480.0019929999999996895
3476:jump=0all: 0.0009980000000000544;jump=0:0.00.0009980000000000544
3477:jump=0all: 0.008975999999999651;jump=0:0.0069789999999994020.006978999999999402
3478:jump=0all: 0.011965000000000003;jump=0:0.008977999999999930.009972000000000314
3479:jump=0all: 0.001994999999999969;jump=0:0.00099699999999991460.001994999999999969
